source_pubkey,source_alias,target_pubkey,target_alias,capacity_sats,fee_base_msat,fee_rate_ppm,max_htlc_sats,cltv_delta,disabled,source_last_update,target_last_update,source_channels,target_channels,source_total_cap,target_total_cap
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
0307537a074668fb5632ed8db476982db44f956d9dc562fe38a58f6df7b004229f,,03a17ec2c693c82d7b8d6616dcaf57cbfb0df506045612e08c9580b0c55dda2c1d,Middle Way Testnet4,80000,0,0,0,0,0,0,1763038567,1,2,80000,5080000
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,10000000,1000,1000,10000000,144,0,1780159483,1750061027,8,11,75000000,131190022
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,500000,1000,1,495000,80,0,1780164254,1780089371,25,11,263426937,33174232
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,500000,1000,1,495000,80,0,1780164254,1780169216,25,10,263426937,25900000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,03b2cdc04988685c522c709133905d6f54746214a2e79e75792f0e79e41ac00cc3,03b2cdc04988685c522c,500000,1000,1,495000,80,0,1780164254,1780133841,25,2,263426937,1000000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02a0968866b14f4387142078d4f73d3d62a1a10efff209f1b57d548ffc339e3258,testnet4-bob.atomiq.exchange,2000000,1000,1,1980000,80,0,1780164254,1780088632,25,3,263426937,106000000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02a0968866b14f4387142078d4f73d3d62a1a10efff209f1b57d548ffc339e3258,testnet4-bob.atomiq.exchange,4000000,1000,1,3960000,80,0,1780164254,1780088632,25,3,263426937,106000000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02a0968866b14f4387142078d4f73d3d62a1a10efff209f1b57d548ffc339e3258,testnet4-bob.atomiq.exchange,100000000,1000,1,99000000,80,0,1780164254,1780088632,25,3,263426937,106000000
02bd11e464e9b912e5bdeea108291fa1e5b50f7bc426d93a2ac8ce80f26d4f3bbf,FC,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,200000,1,10,198000,6,0,1756693593,1750061027,2,11,350000,131190022
02bd11e464e9b912e5bdeea108291fa1e5b50f7bc426d93a2ac8ce80f26d4f3bbf,FC,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,150000,0,0,0,0,0,1756693593,1750061027,2,10,350000,133525022
